Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
536,NM,MT,HVR,Havre,Havre City-County,CS,None,3237,2716,0.1918
537,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,3222,3263,-0.0126
539,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,3182,4155,-0.2342
540,AL,AK,BTI,Kaktovik,Barter Island,CS,None,3135,3212,-0.024
541,NM,WA,PAE,Everett,Snohomish County (Paine Field),CS,None,3131,623,4.0257
542,AL,AK,HLA,Huslia,Huslia,CS,None,3128,2897,0.0797
543,CE,KS,FOE,Topeka,Topeka Regional,CS,None,3061,4901,-0.3754
545,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3016,3353,-0.1005
547,CE,NE,AIA,Alliance,Alliance Municipal,CS,None,2945,2460,0.1972
548,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,CS,None,2901,2455,0.1817
550,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,2837,2733,0.0381
551,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,CS,None,2811,36455,-0.9229
552,SW,TX,VCT,Victoria,Victoria Regional,CS,None,2798,2418,0.1572
553,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,2776,2237,0.2409
554,NM,MT,GDV,Glendive,Dawson Community,CS,None,2739,2229,0.2288
